id,application_dt,sample_cd,education_cd,gender_cd,age,car_own_flg,car_type_flg,appl_rej_cnt,good_work_flg,Score_bki,out_request_cnt,region_rating,home_address_cd,work_address_cd,income,SNA,first_time_cd,Air_flg
1,01JAN2014,train,SCH,M,27,Y,Y,0,0,-1.9178313,0,40,2,3,32000,1,4,N
2,01JAN2014,train,GRD,F,26,N,N,0,0,-1.15314439,2,60,2,3,50000,2,1,N
3,01JAN2014,train,SCH,M,35,N,N,0,1,-1.73281019,0,40,1,2,20000,4,3,N
4,01JAN2014,train,GRD,F,35,N,N,0,1,-2.55213264,2,20,2,3,80000,1,3,N
5,01JAN2014,train,UGR,F,24,N,N,0,0,-1.91458064,1,50,2,3,27000,1,2,N
6,01JAN2014,train,SCH,M,35,Y,Y,0,0,-1.92082293,4,40,2,3,35000,4,3,N
7,01JAN2014,train,UGR,F,35,N,N,0,0,-1.99016659,6,60,1,1,20000,1,3,N
8,01JAN2014,train,SCH,M,55,Y,N,0,0,-1.73344965,1,40,2,3,8000,1,3,N
9,01JAN2014,train,GRD,M,34,Y,Y,0,0,-1.99842243,2,50,1,1,30000,1,4,Y
10,01JAN2014,train,GRD,F,42,N,N,0,0,-1.94973306,3,40,1,2,60000,3,3,N
11,01JAN2014,train,SCH,M,45,N,N,1,0,-1.42300214,0,50,1,3,22000,2,2,N
12,01JAN2014,train,SCH,M,67,Y,N,0,0,-1.65625272,0,50,1,1,20000,1,3,N
13,01JAN2014,train,SCH,F,21,N,N,8,0,-0.59025911,13,70,2,3,30000,1,1,N
14,01JAN2014,train,SCH,F,36,N,N,0,0,-2.16418529,0,70,1,1,90000,1,4,Y
15,01JAN2014,train,GRD,F,29,N,N,1,1,-1.08728696,1,70,1,3,30000,2,2,N
16,01JAN2014,train,SCH,F,62,N,N,0,0,-1.79855892,4,40,2,3,35000,1,3,N
17,01JAN2014,train,SCH,M,55,Y,Y,0,0,-1.91547026,7,50,2,3,90000,1,2,N
18,01JAN2014,train,GRD,M,25,Y,Y,0,0,-1.68558249,2,40,1,3,60000,1,2,N
19,01JAN2014,train,SCH,F,43,N,N,0,0,-1.82567183,4,60,2,3,20000,1,4,N
20,01JAN2014,train,SCH,M,47,N,N,4,0,-2.0470987000000003,3,50,1,2,30000,1,2,N
21,01JAN2014,train,SCH,M,55,N,N,0,0,-1.43859623,0,60,2,3,15000,4,2,N
22,01JAN2014,train,SCH,F,47,N,N,0,0,-1.93194181,1,60,1,2,25000,2,4,Y
23,01JAN2014,train,SCH,M,58,Y,Y,0,0,-1.99033285,12,50,2,3,32000,1,3,N
24,01JAN2014,train,UGR,F,26,Y,N,0,1,-1.28052256,0,60,2,3,17000,3,1,N
25,01JAN2014,train,GRD,F,40,Y,N,0,0,-1.95807153,1,80,2,3,37000,1,3,Y
26,01JAN2014,train,UGR,M,26,Y,N,0,0,-1.56928764,2,40,1,1,32000,2,3,N
27,01JAN2014,train,SCH,F,61,N,N,1,0,-1.69592291,9,50,2,3,8000,4,3,N
28,01JAN2014,train,GRD,F,45,N,N,0,0,-0.78155109,4,50,1,2,20000,1,3,N
29,01JAN2014,train,GRD,F,35,Y,N,0,0,-2.13810097,2,60,1,1,25000,3,4,N
30,01JAN2014,train,SCH,M,43,N,N,0,0,-2.59493765,1,80,2,3,40000,1,4,Y
31,01JAN2014,train,SCH,F,43,N,N,0,0,-1.39509443,0,40,1,1,22000,1,3,N
32,01JAN2014,train,GRD,F,46,N,N,0,0,-1.08728696,1,50,2,3,65000,1,3,N
33,01JAN2014,train,SCH,F,62,N,N,0,0,-2.06221634,1,50,1,2,18000,1,3,Y
34,01JAN2014,train,SCH,F,39,N,N,0,1,-1.96644243,1,50,1,2,7000,4,1,N
35,01JAN2014,train,GRD,M,35,N,N,0,1,-2.21197868,1,70,1,2,50000,1,3,Y
36,01JAN2014,train,GRD,M,21,N,N,8,0,-1.0040912,1,80,2,3,45000,1,4,Y
37,01JAN2014,train,GRD,M,30,Y,Y,0,0,-0.98694862,3,80,2,3,150000,1,3,N
38,01JAN2014,train,SCH,F,38,Y,N,1,1,-1.07145096,5,50,2,3,35000,2,2,N
39,01JAN2014,train,UGR,F,27,N,N,0,0,-1.93449183,3,60,2,3,25000,1,2,N
40,01JAN2014,train,GRD,M,31,Y,Y,0,0,-1.92249273,3,50,1,2,30000,1,3,N
41,01JAN2014,train,GRD,F,26,N,N,0,1,-1.31082862,1,50,1,3,17000,2,1,N
42,01JAN2014,train,UGR,F,47,Y,N,0,0,-2.21157985,1,60,2,3,35000,1,4,Y
43,01JAN2014,train,SCH,F,41,N,N,0,0,-2.24913819,4,50,2,3,16000,4,1,N
44,01JAN2014,train,GRD,F,40,N,N,0,0,-1.5411177,3,40,3,3,25000,1,3,N
45,01JAN2014,train,GRD,M,31,N,N,2,0,-1.62436109,2,80,2,3,50000,1,4,Y
46,01JAN2014,train,SCH,M,39,Y,Y,0,0,-1.86071756,2,80,2,3,43000,1,3,N
47,01JAN2014,train,GRD,F,52,N,N,0,1,-1.73698877,4,60,1,1,38000,1,3,N
48,01JAN2014,train,SCH,M,39,Y,N,5,0,-1.88550331,3,40,1,1,18000,2,1,N
49,01JAN2014,train,SCH,M,37,Y,Y,0,0,-2.26706822,3,80,2,3,50000,1,4,N
50,01JAN2014,train,SCH,M,26,Y,Y,1,0,-2.25712647,6,50,1,2,27000,1,3,N
51,01JAN2014,train,SCH,F,35,N,N,0,0,-1.35999611,0,50,2,2,30000,2,3,N
52,01JAN2014,train,SCH,M,47,N,N,0,0,-1.82574699,2,80,2,3,45000,1,4,N
53,01JAN2014,train,SCH,F,54,Y,N,2,0,-2.2729409,3,60,2,3,60000,2,2,N
54,01JAN2014,train,UGR,F,43,N,N,0,0,-1.56963731,0,70,2,3,30000,2,3,N
55,01JAN2014,train,GRD,M,30,N,N,0,1,-2.25904042,0,80,2,3,160000,1,4,Y
56,01JAN2014,train,UGR,M,25,N,N,0,1,-1.62983124,5,80,2,3,50000,1,3,N
57,02JAN2014,train,UGR,F,29,Y,Y,0,1,-2.02697829,0,60,1,2,60000,4,3,N
58,02JAN2014,train,GRD,M,30,Y,Y,0,1,-2.45417487,1,80,2,3,156000,1,4,Y
59,02JAN2014,train,SCH,F,35,N,N,3,0,-1.78309947,2,40,2,3,22000,1,4,N
60,02JAN2014,train,GRD,M,33,N,N,0,0,-2.55130716,1,60,2,2,15000,4,1,N
61,02JAN2014,train,UGR,M,23,Y,Y,0,1,-2.24054369,2,80,2,3,50000,1,4,Y
62,02JAN2014,train,SCH,M,30,N,N,0,0,-1.58278795,3,80,2,3,90000,1,4,Y
63,02JAN2014,train,SCH,M,30,Y,N,0,1,-1.95500316,2,80,2,3,45000,1,4,Y
64,02JAN2014,train,SCH,F,48,Y,Y,0,0,-1.39653522,0,80,2,3,18000,3,1,N
65,02JAN2014,train,SCH,M,37,Y,Y,0,0,-1.27712561,3,50,1,2,50000,1,3,N
66,02JAN2014,train,GRD,F,29,N,N,0,1,-2.69678406,0,60,1,1,25000,1,4,N
67,02JAN2014,train,GRD,F,33,Y,Y,1,1,-2.02784663,3,50,2,3,200000,1,4,N
68,02JAN2014,train,SCH,M,28,N,N,0,0,-2.04473058,2,40,3,3,40000,1,3,N
69,02JAN2014,train,SCH,F,28,N,N,1,0,-1.08728696,11,60,1,2,25000,2,3,Y
70,02JAN2014,train,SCH,M,62,Y,Y,0,0,-2.57083756,2,40,2,3,300000,1,4,N
71,02JAN2014,train,SCH,F,38,N,N,0,0,-1.9322672,1,40,2,3,15000,3,1,N
72,02JAN2014,train,GRD,M,31,Y,Y,0,1,-1.4407596,2,80,2,3,290000,4,3,Y
73,02JAN2014,train,GRD,F,44,Y,N,0,0,-2.6949845000000003,0,50,1,2,35000,1,3,N
74,02JAN2014,train,GRD,M,31,N,N,0,0,-1.71337628,3,50,3,3,50000,4,3,N
75,02JAN2014,train,SCH,F,56,N,N,0,0,-1.8746774,2,50,2,3,8300,1,3,N
76,02JAN2014,train,GRD,F,36,Y,Y,0,0,-1.96069269,1,50,1,3,45000,1,3,N
77,02JAN2014,train,SCH,F,29,N,N,0,0,-1.43621681,1,60,1,2,14000,1,3,N
78,02JAN2014,train,SCH,F,46,N,N,0,0,-1.65378952,1,50,1,2,25000,3,3,N
79,02JAN2014,train,UGR,F,50,N,N,0,0,-2.45624984,0,60,1,3,20000,3,1,N
80,02JAN2014,train,SCH,M,23,N,N,0,0,-2.22500363,1,50,2,3,22000,3,3,N
81,02JAN2014,train,SCH,M,45,Y,Y,0,0,-2.3795354,0,60,2,3,50000,3,3,N
82,02JAN2014,train,SCH,F,27,N,N,0,1,-1.94555011,2,50,1,1,18000,1,3,N
83,02JAN2014,train,GRD,F,35,Y,Y,0,1,-2.45571347,0,80,2,3,90000,1,3,Y
84,02JAN2014,train,GRD,F,25,N,N,0,0,-1.9538433,0,70,1,3,65000,2,3,N
85,02JAN2014,train,GRD,F,64,N,N,0,0,-1.76914169,0,80,2,3,100000,1,3,Y
86,02JAN2014,train,GRD,M,57,N,N,0,0,-2.36919413,1,40,1,2,30000,1,3,N
87,02JAN2014,train,GRD,M,43,N,N,0,0,-2.12135221,0,50,1,2,90000,1,3,Y
